Sample_ID	Host_Taxonomy_NCBI	Source
JL304_B12_2	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Actiniaria;f__;g__;s__	Hydrozoa
JL304_B15	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;o__;f__Relicanthidae;g__Relicanthus;s__	Seastar
JL312_B09_6	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__;g__;s__	Seastar
BC03_1	na	Sediment
BC04_1	na	Sediment
BC04_2	na	Sediment
BC05_1	na	Sediment
BC06_1	na	Sediment
BC07_1	na	Sediment
JL304_2_6	na	Sediment
JL307_0_5	na	Sediment
JL307_5_7	na	Sediment
JL308_G5_0_2	na	Sediment
JL308_G5_2_6	na	Sediment
JL308_G7_2_6	na	Sediment
JL308_G8_0_2	na	Sediment
JL308_G8_0_2B	na	Sediment
JL308_G8_2_6	na	Sediment
JL308_G9_0_6	na	Sediment
JL309_PC11_1	na	Sediment
JL309_PC11_2	na	Sediment
JL309_PC12_1	na	Sediment
JL309_PC12_2	na	Sediment
JL309_PC9_1	na	Sediment
JL309_PC9_2	na	Sediment
JL310_G2_0_2	na	Sediment
JL310_G2_2_6	na	Sediment
JL310_G3_0_2	na	Sediment
JL310_G3_2_4	na	Sediment
JL310_G4_0_2	na	Sediment
JL310_G4_2_4	na	Sediment
JL310_G5_0_2	na	Sediment
JL310_G5_2_6	na	Sediment
JL310_G6_0_2	na	Sediment
JL310_G6_2_4	na	Sediment
JL310_G6_4_6	na	Sediment
JL310_G7_0_2	na	Sediment
JL310_G7_2_4	na	Sediment
JLOY1_2_10	na	Sediment
PC02_2_6	na	Sediment
JL309_B03_2	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Actiniaria;so__Nynantheae;f__;g__;s__	Sponge
JL309_B03_3	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Actiniaria;so__Nynantheae;f__;g__;s__	Sponge
JL302_B04	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__;g__;s__	Sponge
JL302_B05_3	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__;g__;s__	Sponge
JL311_B09_4	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__;g__;s__	Sponge
JL311_B17_3_3	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__;g__;s__	Sponge
JL312_B09_5A	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__;g__;s__	Sponge
JL312_B09_5B	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__;g__;s__	Sponge
JL305_B17	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__;g__;s__	Sponge
JL311_B17_3_4	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Zoantharia;f__;g__;s__	Sponge
JL302_B19_2	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Malacalcyonacea;f__;g__;s__	Sponge
JL302_B19	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Malacalcyonacea;f__;g__;s__	Sponge
CTD7_1	na	Water
CTD8_1	na	Water
JL300_W2L	na	Water
JL303_W2L	na	Water
JL305_W2L	na	Water
JL306_W2L	na	Water
JL307_W2L	na	Water
JL308_W2L	na	Water
JL309_W2L	na	Water
JL310_W1.5L	na	Water
JL311_W2L	na	Water
JL312_W2L	na	Water
JL314_W2L	na	Water
JL315_W2L_1	na	Water
JL315_W2L_2	na	Water
JL316_W2L_1	na	Water
JL317_W2L	na	Water
