Sample_ID	Host_Taxonomy_NCBI	Source
JL315_B06_3	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Chrysogorgiidae;g__Chrysogorgia;s__	Coral
JL316_B01_6_1	na	Hydrozoa
JL316_B01_6_2	na	Hydrozoa
JL316_B01_6_3	na	Hydrozoa
JL316_B01_7	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Keratoisididae;g__Keratoisis;s__	Coral
JL316_B02_1	na	Sunken_wood
JL316_B02_2	na	Sunken_wood
JL316_B02_3	na	Sunken_wood
JL316_B02_4	na	Sunken_wood
JL316_B02_5	na	Sunken_wood
JL316_B06_5	na	Ophiuroid
JL316_B06_6	na	Sponge
JL316_B11_2	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Primnoidae;g__;s__	Coral
JL316_B20_3	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Chrysogorgiidae;g__Chrysogorgia;s__	Coral
JL317_B01	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Antipatharia;f__Schizopathidae;g__;s__	Coral
JL317_B03	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Hexacorallia;o__Antipatharia;f__Schizopathidae;g__Bathypathes;s__	Coral
JL317_B05	na	Fabric
JL317_B05_3_2	d__Eukaryota;k__Metazoa;p__Echinodermata;uc__Asterozoa;c__Ophiuroidea;sc__Myophiuroidea;uo__Ophintegrida;o__Amphilepidida;so__Ophiurina;f__Ophiacanthidae;g__;s__	Ophiuroid
JL317_B05_3_2_1	d__Eukaryota;k__Metazoa;p__Echinodermata;uc__Asterozoa;c__Ophiuroidea;sc__Myophiuroidea;uo__Ophintegrida;o__Amphilepidida;so__Ophiurina;f__Ophiacanthidae;g__;s__	Ophiuroid
JL317_B05_3_3	d__Eukaryota;k__Metazoa;p__Echinodermata;uc__Asterozoa;c__Ophiuroidea;sc__Myophiuroidea;uo__Ophintegrida;o__Amphilepidida;so__Ophiurina;f__Ophiacanthidae;g__;s__	Ophiuroid
JL317_B05_3_3_1	d__Eukaryota;k__Metazoa;p__Echinodermata;uc__Asterozoa;c__Ophiuroidea;sc__Myophiuroidea;uo__Ophintegrida;o__Amphilepidida;so__Ophiurina;f__Ophiacanthidae;g__;s__	Ophiuroid
JL317_B05_3_4	d__Eukaryota;k__Metazoa;p__Echinodermata;uc__Asterozoa;c__Ophiuroidea;sc__Myophiuroidea;uo__Ophintegrida;o__Amphilepidida;so__Ophiurina;f__Ophiacanthidae;g__;s__	Ophiuroid
JL317_B05_3_4_1	d__Eukaryota;k__Metazoa;p__Echinodermata;uc__Asterozoa;c__Ophiuroidea;sc__Myophiuroidea;uo__Ophintegrida;o__Amphilepidida;so__Ophiurina;f__Ophiacanthidae;g__;s__	Ophiuroid
JL317_B05_P1	na	Fabric
JL317_B05_P2	na	Fabric
JL317_B05_P3	na	Fabric
JL317_B05_P4	na	Fabric
JL317_B05_P5	na	Fabric
JL317_B05_R1	na	Rock
JL317_B05_R2	na	Rock
JL317_B05_R3	na	Rock
JL317_B05_S02	d__Eukaryota;k__Metazoa;p__Porifera;c__Hexactinellida;sc__;o__;f__;g__;s__	Sponge
JL317_B06_3	d__Eukaryota;k__Metazoa;p__Echinodermata;uc__Echinozoa;c__Echinoidea;sc__Euechinoidea;uo__Diadematacea;o__Echinothurioida;f__Echinothuriidae;g__Araeosoma;s__	Hydrozoa
JL317_B07_2	d__Eukaryota;k__Metazoa;p__Porifera;c__Hexactinellida;sc__Hexasterophora;o__Lyssacinosida;f__Euplectellidae;g__Walteria;s__	Hydrozoa
JL317_B07_3	d__Eukaryota;k__Metazoa;p__Echinodermata;uc__Echinozoa;c__Echinoidea;sc__Euechinoidea;o__;f__;g__;s__	Sponge
JL317_B09	d__Eukaryota;k__Metazoa;p__Cnidaria;c__Anthozoa;sc__Octocorallia;o__Scleralcyonacea;f__Primnoidae;g__Narella;s__Narella versluysi	Coral
JL317_B11	na	Seastar
JL317_B11_2	na	Seastar
LG_Rep1	na	Sponge
LG_Rep2	na	Sponge
RD_Rep1	na	Sponge
SY711_HM04A	na	Sponge
